glider_sn, 1012
deployment_number, 3
fin_type, radome
glider_type, G3
length_days, 67.88472222222222
launch_datetime, 2023-12-13T19:46:00
end_datetime, 2024-02-19T17:00:00
log file,open time,disconnect,in-mission,data transfer drop,flight xfer drop,science xfer drop,other data xfer drop
ce_1012_20240122T134724_network_net_0.log,2024-01-22T13:47:24,False,True,False,False,False,False
ce_1012_20240122T135312_network_net_0.log,2024-01-22T13:53:12,False,True,False,False,False,False
ce_1012_20240122T135854_network_net_0.log,2024-01-22T13:58:54,False,True,False,False,False,False
ce_1012_20240122T140659_network_net_0.log,2024-01-22T14:06:59,False,True,False,False,False,False
ce_1012_20240122T141042_network_net_0.log,2024-01-22T14:10:42,False,True,False,False,False,False
ce_1012_20240122T141614_network_net_0.log,2024-01-22T14:16:14,False,True,False,False,False,False
ce_1012_20240122T142349_network_net_0.log,2024-01-22T14:23:49,False,True,False,False,False,False
ce_1012_20240122T142758_network_net_0.log,2024-01-22T14:27:58,False,True,False,False,False,False
ce_1012_20240122T143332_network_net_0.log,2024-01-22T14:33:32,False,True,False,False,False,False
ce_1012_20240122T152734_network_net_0.log,2024-01-22T15:27:34,False,True,False,False,False,False
ce_1012_20240122T152931_network_net_0.log,2024-01-22T15:29:31,False,True,False,False,False,False
ce_1012_20240122T161334_network_net_1.log,2024-01-22T16:13:34,True,True,False,False,False,False
ce_1012_20240122T171125_network_net_0.log,2024-01-22T17:11:25,True,False,False,False,False,False
ce_1012_20240122T173508_network_net_0.log,2024-01-22T17:35:08,True,False,False,False,False,False
ce_1012_20240122T180036_network_net_0.log,2024-01-22T18:00:36,True,False,False,False,False,False
ce_1012_20240122T204834_network_net_0.log,2024-01-22T20:48:34,False,True,False,False,False,False
ce_1012_20240122T205239_network_net_0.log,2024-01-22T20:52:39,False,True,False,False,False,False
ce_1012_20240122T205801_network_net_0.log,2024-01-22T20:58:01,False,True,False,False,False,False
ce_1012_20240122T210352_network_net_0.log,2024-01-22T21:03:52,False,True,False,False,False,False
ce_1012_20240122T210936_network_net_0.log,2024-01-22T21:09:36,False,True,False,False,False,False
ce_1012_20240122T211527_network_net_0.log,2024-01-22T21:15:27,False,True,False,False,False,False
ce_1012_20240122T212138_network_net_0.log,2024-01-22T21:21:38,False,True,False,False,False,False
ce_1012_20240122T212311_network_net_0.log,2024-01-22T21:23:11,False,True,False,False,False,False
ce_1012_20240122T212635_network_net_0.log,2024-01-22T21:26:35,True,False,False,False,False,False
ce_1012_20240122T213300_network_net_0.log,2024-01-22T21:33:00,True,False,False,False,False,False
ce_1012_20240122T231658_network_net_0.log,2024-01-22T23:16:58,True,True,False,False,False,False
ce_1012_20240123T005832_network_net_1.log,2024-01-23T00:58:32,True,True,False,False,False,False
ce_1012_20240123T024129_network_net_0.log,2024-01-23T02:41:29,False,True,False,False,False,False
ce_1012_20240123T041543_network_net_0.log,2024-01-23T04:15:43,True,True,False,False,False,False
ce_1012_20240123T055923_network_net_0.log,2024-01-23T05:59:23,True,True,False,False,False,False
ce_1012_20240123T074856_network_net_0.log,2024-01-23T07:48:56,False,True,True,True,False,False
ce_1012_20240123T093734_network_net_0.log,2024-01-23T09:37:34,True,True,False,False,False,False
ce_1012_20240123T113311_network_net_0.log,2024-01-23T11:33:11,False,True,False,False,False,False
ce_1012_20240123T113505_network_net_0.log,2024-01-23T11:35:05,False,True,False,False,False,False
ce_1012_20240123T130820_network_net_0.log,2024-01-23T13:08:20,True,True,False,False,False,False
ce_1012_20240123T150204_network_net_0.log,2024-01-23T15:02:04,False,True,True,False,True,False
ce_1012_20240123T151106_network_net_0.log,2024-01-23T15:11:06,False,True,False,False,False,False
ce_1012_20240123T151634_network_net_0.log,2024-01-23T15:16:34,False,False,False,False,False,False
ce_1012_20240123T152553_network_net_0.log,2024-01-23T15:25:53,True,False,False,False,False,False
ce_1012_20240123T153727_network_net_0.log,2024-01-23T15:37:27,False,True,False,False,False,False
ce_1012_20240123T154228_network_net_0.log,2024-01-23T15:42:28,True,False,False,False,False,False
ce_1012_20240123T171727_network_net_0.log,2024-01-23T17:17:27,True,False,False,False,False,False
ce_1012_20240123T175607_network_net_0.log,2024-01-23T17:56:07,False,False,False,False,False,False
ce_1012_20240123T180330_network_net_0.log,2024-01-23T18:03:30,True,False,False,False,False,False
ce_1012_20240123T181437_network_net_0.log,2024-01-23T18:14:37,True,False,False,False,False,False
ce_1012_20240123T195555_network_net_0.log,2024-01-23T19:55:55,True,True,False,False,False,False
ce_1012_20240123T213625_network_net_0.log,2024-01-23T21:36:25,True,True,False,False,False,False
